pubkey,amount
J6BTQovvuwPfL74DRv35HG9hX5vdHeJ3L3gemogcqe3e,1767
BN6cdQ4RBU6APUCGpcQemxW9DynPeQQKN3fTujsHcDhd,1763
5rgmgc636KjFZfuBMSXDcuFUGFaoE7ZBkCqB8GsULJ4y,1755
6Fqkb9UC4jsm95ekE7dMpNVJiVb7VMpCLWcHVxnpoVkL,1736
3X1bhvR343ExS23cHxE1wwbu5pPWBDE1XBVkRmuWj5G5,1732
849tiVtBBm5S6xAzG1tCWSjzCXnRGjug1wTF6yRt5Jow,1732
6LihAhP7EFpsdU7TZiZ22yzZZd5KWbHHgPnC1h4GVtjn,1726
CZFmkBzFk3XWk3zPEuEBoPqpPe6zBUGTVxH6KC8iMXGU,1721
5kn6ED5hKzF8f8Go3xahR515ekJkM1EcWN8V31PvZcBB,1717
DGiBdGWKWfV7UKfvqJ2h5X9YfU7QcM3KXpzz7mcvcKPg,1698
58kZBjjtHShTtXFmygr3ZT8VSU4dH28PanRAdouHbToh,1696
Dnr9MECDQQpA4rQMXB8XZvTgAfwWzRTTpRPafdK3S4CQ,1691
2wCMJVjP3UMJtHSgHLEj32fMpHCSKBDsoTN4xGnHGUy2,1689
BiFP6ow8ofr2YpTMLgroSXqsXWqnNKK8yYgYDNDccMT3,1687
27FRGLDhy8cqxQSHEsHz5LSGPhsPszuK3U3JMNhcfZXd,1682
znFEBgiGLQdvuSU5sNH6XS5bqQJViPUX4bofgFaWQam,1680
ErNMP3aJZWdb7YKGXZfdeVAAm9QH1XqNb4w6DceWmshf,1679
BCF3LsoZgoDpnWCLXG5LPR5tdwfK2Y3RGCaYfEvurJZy,1677
AyaffxKixReVa4qJKw9QyHxYhX6XUsiNvcVQDWQTCGNP,1651
8SLWRgNjiUSWipWkzzyaGXrXsqWmg9ChZjysaXxyZ8u4,1643
8NEVr3QMsDPe6PyXSPzWhyizy83xN3rgtPPB7KYE8azs,1642
5rGCv3wy21M6y7BzgvcB4WoBtoJKNDpXWChNWzeD3UzB,1641
Hee5dhEmNToekzuaKVHyejYVCc6bz7BneGh1YhsvA9rw,1636
9VRFShBthRvbxaWVuuHxgeQv7Dz6ynpExNhgx9yBMWWv,1633
BjfKUFgtnNeWYo6xJn2Ab1AGeu51tUFcaaU6ZMJYoWNr,1627
FSHZdx73rEGcS5JXUXvW6h8i4AtsrfPTHcgcbXLVUD3A,1626
F5MqCfpjtUbZ5fipAxHmQExMyKaNsPmNPCrpAYW4e4Jp,1619
FeJKqEKi3ZszFC61oMReRBtKPNdHdKCJiekMw6LGJbg7,1618
FdTsnwUanBR1qnkN623BYkJ9yq2vfMwUKFnQ5vBxpAW4,1616
4HHjBCKQrmpxu7qryDZtRGNJMQpaqPrzdcwxjKpr3pWf,1612
FJamB5DqnBTd5hePj5M1TvQBvzfB3TALUUgA7mfe7pED,1612
EvmsnCzE8kJZs7KGzmNYmzBJv1MaxqP7cNVYdwnQS7yt,1612
7EJnjL29WnvR2Y3Mu8zdKAiEjYibKmbjMUfhEYPvBkJU,1611
FNeKs6nLBDLTcbqTZiYbtonHcF1J1HP3h1gieq97bsWQ,1610
9wpj82TNBUbBGAjqHo5cmVA32hkXhf7X6RtxhzgShXeA,1607
5dQqPHM8PCYe8xm83kuTCG3yfobqDGdysKqkZWXoXkj7,1605
rHfaLqoFSTp2qrB7W2EYvcyT8Zb532Gh6sXNcPpUuRF,1601
2yCFms7AWAZVmLQAujqxaMBRRawMdfxfxoANeQZNo84Z,1591
AFro6PGXoqEZTH9ySHuTQ2B21zHWxHJoFjfzJdMV4387,1582
D2qYo1r6idb2dGswnsXEiqk7Df9DmHkaf9Ugy4m1kb5s,1576
FuH5ogbrCbAowZWatqdKqv4CgHjULVpUEuBrYeVLJ3K1,1575
4XRcA8a7g32MBJPxAN3oSLZz4xE5XbgMUe3CWeUS2LmS,1572
FsUJw4iLjNQ9gNycd4HFbc8XM9sHcmHiWuygUWN5JhLe,1571
24y4kcw2Qzrg3fbpYMoM6NDLrwKgP7pevTi7Hm6irQHJ,1567
7jkTQT4BXd4aFD2XYpuAXivwgFQ3jpTCkcLumH2ZLWTt,1560
8nDti6TbgDRny5Yq4uWReRLZrB6deMnwWcUNEiJfYeSH,1558
Asq2vBEnk2wz9pEybdx67jVQsKFxWV9AVQ8jJbghN5Qg,1555
Dc5VNFo8TVTPiAXNoFfDhRozV4irJpmhVX3WmMNmUWMQ,1555
kSwBNkXhyAevfPXQCiB93TCEESyxWpaFc4vyUtTUyyL,1554
4Qdy53DfKVqCwNroCvYNDMz1Ko7cr36PMSHzjvMfXg71,1553
C2zDCqPCRJppgiNJcF825a1uK2hNYBvWWcykobKNjcjJ,1549
6GAexkiQ7REvDCj9qauNLUiA3vTYGs1U8tLC2KEf6C4g,1545
B21oTRzqWNLwfamqaGu9nNfqkdNxsEqgZbrsRWDCzf9q,1542
8JpnMbQwhT6mcwr3ybX6bHAp7fF4SHZuvRvQvtGQQT3d,1539
GUiiSYvoGf3mm8eS3sHgLiwjfpLJrmjCs393KsAovDe4,1533
Dht7MqnC2bW76MNnPPHCemE5CXfeSwpXVhCMQh5D7SeJ,1530
47Pdr9CZ4EQNFotybGfCWeJLuXgA834hNYNwMCPg6Rod,1528
53bKspxLqt4EDhgMnCuwKX77t1X5hesDTagHPswNB61m,1522
Ebzy29mvuVC76vMR69Fhqez2zgLN2dqV23ryudPiLJCW,1517
DLddoiBzRS6217u7gWuuWeFesLJbYVC7xETF3KjkSXTT,1505
DwSHWehT29TixzUbNmcLHZAGAfiWBUmT1GQ5dJcTVrKi,1503
BjT2CDcT3ffWFhohthK6mL6GjaEMwDBQkMnSfMQ6Giiy,1493
GSAgiMwdNrJcvpD8NTLYDZPybyTBtdH6qUcthYWa4hHA,1493
69wSEma8aGAfT1y2D47Y7KZUbftagXaguruoU1MMtTuz,1492
D1KSaG9hJZJvQc9nn4CELCmM2KGTZbdchTHP4ALx8nhm,1489
12UZbmxFr1VGe8Fs2Ncw3iA6DT5PadTTxovQSDqarWze,1487
2HAGp9aihducDX3DF2zX8BE2QCgrTXzvH9CjkG7DZ9KH,1480
5eYMVxUqtnwBtbQVbWpWEwZJPw1BpM4U3V3Z81igRWUv,1480
zyQjqxdTMSkJykJtFwnVZbxen9oFRhtZJmrJ1eQYKA1,1477
BP9a7nk1GJFAeLDJL1BxnXDRxzJviHT66w6Qcznz3t1X,1472
7cT6G14HZ2bLYyEkUU692SSzDPvbVCpTHGX58EVhvCSH,1466
ASisx3oFQWk7Q5KDMa4nNkmjUAe8TSswVTZEpZyXNtg7,1465
8f41H2vHtyuBepQ7ukn6GYKQXhopgoaiwm1TSrUz9qdq,1463
2imMvgN54yGkEQQN4d84AgPMppyVW4E8hwXv6pn7YwN6,1459
BXbiqFwegiLrJGfqyaGyt7arv5y6NoN5vcYjfCDvAD22,1450
6ivAJZ89U1Rc3SStEPDooqt7PJkGXaiRgmQL28HHRXuA,1442
6CRjCyjejLXqWt6r11JZVR5RWwwCpqhgQRT5MdQpfMYT,1442
9nB6R1u3XivEV4gSpzgtipBAk9qEpPHC61Ya2PveGfLD,1438
8uWh6tX1NuHna4TtfViNhrMb7yvxSSJEaiLNUBaYVJ4v,1434
BkcigpJhPCfejUHvr8yC4XWqRnjMhiZgk3xFqHYPjJvF,1433
7ATnsqSMJbRjhBu8QfaxdazXpxcpPDadLytCLZGqteuD,1432
7BoBTW6N9NNJu65r5t5YqWrYEQKX74gWsBt8EWeUYAy5,1431
FqRXiaGCPTknwME5xJDfKvTDctkMraBDqsVRcK7yG1kA,1430
EYARgsqdanJcLLj9gyjhFKX1gsD28JEZGWC3cyh1LpAh,1421
BmjJuuv1gykZFCeni8jeMNydrFzAHkSrnTD1Mh3DMMe6,1420
CpKqXYPgyfHkzsYoo4Q9AvW6qURAMdwxvuUWLfpTNroE,1418
GBHjPxtyiTz94Kta1QnA8B7HkP99S8ywAf2Si4D5demN,1413
2iqgZTWqNo2AT6gt1zUbT5yABtycWiEhft4nwpGV8RK1,1404
